Period,Country,Production_kt
2010,Indonesia,21958
2011,Indonesia,23097
2012,Indonesia,26016
2013,Indonesia,27782
2014,Indonesia,29278
2015,Indonesia,31070
2016,Indonesia,31731
2017,Indonesia,37965
2018,Indonesia,43108
2019,Indonesia,47180
2020,Indonesia,47034
2021,Indonesia,46888
2022,Indonesia,46729
2023,Indonesia,48530
2024,Indonesia,44000
2010,Malaysia,16994
2011,Malaysia,18912
2012,Malaysia,18785
2013,Malaysia,19216
2014,Malaysia,19667
2015,Malaysia,19962
2016,Malaysia,17319
2017,Malaysia,19919
2018,Malaysia,19516
2019,Malaysia,19858
2020,Malaysia,19141
2021,Malaysia,18116
2022,Malaysia,18453
2023,Malaysia,18552
2024,Malaysia,19338
2010,Thailand,1360
2011,Thailand,1710
2012,Thailand,1820
2013,Thailand,2134
2014,Thailand,2000
2015,Thailand,2068
2016,Thailand,1804
2017,Thailand,2602
2018,Thailand,2775
2019,Thailand,3040
2020,Thailand,2690
2021,Thailand,2940
2022,Thailand,3240
2023,Thailand,3323
2024,Thailand,3480
2010,Colombia,753
2011,Colombia,945
2012,Colombia,974
2013,Colombia,1041
2014,Colombia,1111
2015,Colombia,1275
2016,Colombia,1146
2017,Colombia,1627
2018,Colombia,1632
2019,Colombia,1529
2020,Colombia,1558
2021,Colombia,1748
2022,Colombia,1769
2023,Colombia,1842
2024,Colombia,1720
2010,Nigeria,780
2011,Nigeria,800
2012,Nigeria,840
2013,Nigeria,880
2014,Nigeria,910
2015,Nigeria,940
2016,Nigeria,960
2017,Nigeria,1040
2018,Nigeria,1130
2019,Nigeria,1220
2020,Nigeria,1280
2021,Nigeria,1350
2022,Nigeria,1420
2023,Nigeria,1460
2024,Nigeria,1540
2010,Papua New Guinea,488
2011,Papua New Guinea,580
2012,Papua New Guinea,480
2013,Papua New Guinea,500
2014,Papua New Guinea,545
2015,Papua New Guinea,525
2016,Papua New Guinea,565
2017,Papua New Guinea,645
2018,Papua New Guinea,660
2019,Papua New Guinea,625
2020,Papua New Guinea,680
2021,Papua New Guinea,765
2022,Papua New Guinea,810
2023,Papua New Guinea,770
2024,Papua New Guinea,695
2010,Honduras,275
2011,Honduras,320
2012,Honduras,395
2013,Honduras,425
2014,Honduras,460
2015,Honduras,480
2016,Honduras,580
2017,Honduras,690
2018,Honduras,653
2019,Honduras,707
2020,Honduras,700
2021,Honduras,650
2022,Honduras,645
2023,Honduras,655
2024,Honduras,500
2010,Ghana,200
2011,Ghana,234
2012,Ghana,242
2013,Ghana,256
2014,Ghana,269
2015,Ghana,269
2016,Ghana,269
2017,Ghana,274
2018,Ghana,540
2019,Ghana,560
2020,Ghana,560
2021,Ghana,565
2022,Ghana,575
2023,Ghana,300
2024,Ghana,300
2010,World,46245
2011,World,50957
2012,World,53882
2013,World,56834
2014,World,60168
2015,World,63073
2016,World,60057
2017,World,69638
2018,World,74819
2019,World,77152
2020,World,75478
2021,World,76615
2022,World,79411
2023,World,81707
2024,World,79252
