state,year,tc_loss_ha
Johor,2001,43703
Kedah,2001,3600
Kelantan,2001,10558
Kuala Lumpur,2001,36
Labuan,2001,24
Melaka,2001,3593
Negeri Sembilan,2001,22431
Pahang,2001,47473
Perak,2001,16246
Perlis,2001,259
Pulau Pinang,2001,133
Putrajaya,2001,61
Sabah,2001,63041
Sarawak,2001,100293
Selangor,2001,11218
Trengganu,2001,10138
Johor,2002,35359
Kedah,2002,9894
Kelantan,2002,9120
Kuala Lumpur,2002,119
Labuan,2002,23
Melaka,2002,2814
Negeri Sembilan,2002,24928
Pahang,2002,58056
Perak,2002,20779
Perlis,2002,173
Pulau Pinang,2002,436
Putrajaya,2002,49
Sabah,2002,59779
Sarawak,2002,73917
Selangor,2002,7332
Trengganu,2002,10067
Johor,2003,13478
Kedah,2003,4456
Kelantan,2003,5576
Kuala Lumpur,2003,48
Labuan,2003,18
Melaka,2003,1272
Negeri Sembilan,2003,7334
Pahang,2003,26962
Perak,2003,9510
Perlis,2003,55
Pulau Pinang,2003,194
Putrajaya,2003,24
Sabah,2003,33047
Sarawak,2003,73946
Selangor,2003,3749
Trengganu,2003,4385
Johor,2004,40586
Kedah,2004,7109
Kelantan,2004,13804
Kuala Lumpur,2004,170
Labuan,2004,11
Melaka,2004,1267
Negeri Sembilan,2004,8938
Pahang,2004,45058
Perak,2004,14547
Perlis,2004,112
Pulau Pinang,2004,416
Putrajaya,2004,50
Sabah,2004,86717
Sarawak,2004,109131
Selangor,2004,8332
Trengganu,2004,15756
Johor,2005,44010
Kedah,2005,7570
Kelantan,2005,12530
Kuala Lumpur,2005,81
Labuan,2005,27
Melaka,2005,3810
Negeri Sembilan,2005,12717
Pahang,2005,61428
Perak,2005,19636
Perlis,2005,222
Pulau Pinang,2005,515
Putrajaya,2005,32
Sabah,2005,73026
Sarawak,2005,121973
Selangor,2005,8143
Trengganu,2005,10040
Johor,2006,36498
Kedah,2006,8194
Kelantan,2006,11407
Kuala Lumpur,2006,77
Labuan,2006,22
Melaka,2006,1802
Negeri Sembilan,2006,7498
Pahang,2006,44941
Perak,2006,12108
Perlis,2006,79
Pulau Pinang,2006,597
Putrajaya,2006,5
Sabah,2006,81771
Sarawak,2006,114173
Selangor,2006,4764
Trengganu,2006,10589
Johor,2007,39197
Kedah,2007,6069
Kelantan,2007,25134
Kuala Lumpur,2007,57
Labuan,2007,41
Melaka,2007,3366
Negeri Sembilan,2007,10172
Pahang,2007,43997
Perak,2007,19920
Perlis,2007,83
Pulau Pinang,2007,334
Putrajaya,2007,30
Sabah,2007,62739
Sarawak,2007,175583
Selangor,2007,9556
Trengganu,2007,9412
Johor,2008,18470
Kedah,2008,9889
Kelantan,2008,12747
Kuala Lumpur,2008,49
Labuan,2008,39
Melaka,2008,2012
Negeri Sembilan,2008,8384
Pahang,2008,34052
