Entity,Code,Year,Palm oil - Production (tonnes)
Colombia,COL,1961,1700.0
Colombia,COL,1962,1950.0
Colombia,COL,1963,2100.0
Colombia,COL,1964,2200.0
Colombia,COL,1965,2200.0
Colombia,COL,1966,2800.0
Colombia,COL,1967,11100.0
Colombia,COL,1968,13400.0
Colombia,COL,1969,17700.0
Colombia,COL,1970,26900.0
Colombia,COL,1971,36200.0
Colombia,COL,1972,41400.0
Colombia,COL,1973,44000.0
Colombia,COL,1974,50800.0
Colombia,COL,1975,39200.0
Colombia,COL,1976,38940.0
Colombia,COL,1977,48100.0
Colombia,COL,1978,48800.0
Colombia,COL,1979,61800.0
Colombia,COL,1980,69800.0
Colombia,COL,1981,79900.0
Colombia,COL,1982,85200.0
Colombia,COL,1983,101900.0
Colombia,COL,1984,118628.0
Colombia,COL,1985,125250.0
Colombia,COL,1986,140000.0
Colombia,COL,1987,147000.0
Colombia,COL,1988,198725.0
Colombia,COL,1989,224000.0
Colombia,COL,1990,251961.0
Colombia,COL,1991,290856.0
Colombia,COL,1992,290470.0
Colombia,COL,1993,314680.0
Colombia,COL,1994,353163.0
Colombia,COL,1995,387646.0
Colombia,COL,1996,409620.0
Colombia,COL,1997,440796.0
Colombia,COL,1998,424198.0
Colombia,COL,1999,499635.0
Colombia,COL,2000,524001.0
Colombia,COL,2001,547571.0
Colombia,COL,2002,528400.0
Colombia,COL,2003,526634.0
Colombia,COL,2004,630400.0
Colombia,COL,2005,672576.0
Colombia,COL,2006,711000.0
Colombia,COL,2007,780000.0
Colombia,COL,2008,777800.0
Colombia,COL,2009,804838.0
Colombia,COL,2010,753039.0
Colombia,COL,2011,804838.0
Colombia,COL,2012,973039.0
Colombia,COL,2013,1040835.0
Colombia,COL,2014,1109586.0
Colombia,COL,2015,1275000.0
Colombia,COL,2016,1146000.0
Colombia,COL,2017,1627552.0
Colombia,COL,2018,1631506.4
Colombia,COL,2019,1527548.9
Colombia,COL,2020,1557994.9
Colombia,COL,2021,1747773.0
Colombia,COL,2022,1767624.0
Colombia,COL,2023,1841880.2
Ghana,GHA,1961,23000.0
Ghana,GHA,1962,24000.0
Ghana,GHA,1963,25000.0
Ghana,GHA,1964,26000.0
Ghana,GHA,1965,27000.0
Ghana,GHA,1966,16000.0
Ghana,GHA,1967,18000.0
Ghana,GHA,1968,18000.0
Ghana,GHA,1969,18000.0
Ghana,GHA,1970,20000.0
Ghana,GHA,1971,20000.0
Ghana,GHA,1972,20000.0
Ghana,GHA,1973,20000.0
Ghana,GHA,1974,23000.0
Ghana,GHA,1975,24000.0
Ghana,GHA,1976,18000.0
Ghana,GHA,1977,21000.0
Ghana,GHA,1978,21000.0
Ghana,GHA,1979,21000.0
Ghana,GHA,1980,21000.0
Ghana,GHA,1981,21000.0
Ghana,GHA,1982,23000.0
Ghana,GHA,1983,20000.0
Ghana,GHA,1984,30000.0
Ghana,GHA,1985,42000.0
Ghana,GHA,1986,51300.0
Ghana,GHA,1987,51000.0
Ghana,GHA,1988,60000.0
