state,total_loss_2001_2024,tree_cover_extent_2000,loss_intensity_pct
Melaka,67821,112675,60.19
Negeri Sembilan,285037,559821,50.92
Johor,805133,1593778,50.52
Putrajaya,748,1583,47.25
Pahang,1308437,3295418,39.7
Kelantan,493867,1344069,36.74
Kedah,223859,676020,33.11
Selangor,182088,564554,32.25
Perlis,8089,27366,29.56
Sabah,1965258,6698363,29.34
Sarawak,3347529,11643008,28.75
Trengganu,313112,1106233,28.3
Perak,498023,1766052,28.2
Pulau Pinang,12328,46680,26.41
Kuala Lumpur,1264,4827,26.19
Labuan,971,4323,22.46
