Entity,Code,Year,Palm fruit oil - Area harvested (hectares)
Africa,OWID_AFR,1961,3444970
Africa,OWID_AFR,1962,3237470
Africa,OWID_AFR,1963,3325700
Africa,OWID_AFR,1964,3333700
Africa,OWID_AFR,1965,3394650
Africa,OWID_AFR,1966,3286350
Africa,OWID_AFR,1967,2827170
Africa,OWID_AFR,1968,2886250
Africa,OWID_AFR,1969,2989650
Africa,OWID_AFR,1970,2931900
Africa,OWID_AFR,1971,2933050
Africa,OWID_AFR,1972,2776410
Africa,OWID_AFR,1973,2786658
Africa,OWID_AFR,1974,2964202
Africa,OWID_AFR,1975,2918437
Africa,OWID_AFR,1976,2903133
Africa,OWID_AFR,1977,2948657
Africa,OWID_AFR,1978,2812362
Africa,OWID_AFR,1979,3150373
Africa,OWID_AFR,1980,3145234
Africa,OWID_AFR,1981,2841171
Africa,OWID_AFR,1982,2856176
Africa,OWID_AFR,1983,2746172
Africa,OWID_AFR,1984,3043621
Africa,OWID_AFR,1985,3015208
Africa,OWID_AFR,1986,3046353
Africa,OWID_AFR,1987,3129142
Africa,OWID_AFR,1988,3110078
Africa,OWID_AFR,1989,3159323
Africa,OWID_AFR,1990,3222002
Africa,OWID_AFR,1991,3394830
Africa,OWID_AFR,1992,3528345
Africa,OWID_AFR,1993,3683773
Africa,OWID_AFR,1994,3741006
Africa,OWID_AFR,1995,3941291
Africa,OWID_AFR,1996,3977150
Africa,OWID_AFR,1997,3962750
Africa,OWID_AFR,1998,3972693
Africa,OWID_AFR,1999,4025858
Africa,OWID_AFR,2000,4109776
Africa,OWID_AFR,2001,4211029
Africa,OWID_AFR,2002,4215557
Africa,OWID_AFR,2003,4387367
Africa,OWID_AFR,2004,4520854
Africa,OWID_AFR,2005,4571631
Africa,OWID_AFR,2006,4339738
Africa,OWID_AFR,2007,4373376
Africa,OWID_AFR,2008,4487210
Africa,OWID_AFR,2009,4560340
Africa,OWID_AFR,2010,4597186
Africa,OWID_AFR,2011,4609699
Africa,OWID_AFR,2012,4751563
Africa,OWID_AFR,2013,4492793
Africa,OWID_AFR,2014,4650960
Africa,OWID_AFR,2015,4793362
Africa,OWID_AFR,2016,4951320
Africa,OWID_AFR,2017,5255593
Africa,OWID_AFR,2018,5464775
Africa,OWID_AFR,2019,5622599
Africa,OWID_AFR,2020,5757304
Africa,OWID_AFR,2021,6025285
Africa,OWID_AFR,2022,6243042
Africa,OWID_AFR,2023,6483847
Africa,OWID_AFR,2024,6419967
Africa (FAO),,1961,3444970
Africa (FAO),,1962,3237470
Africa (FAO),,1963,3325700
Africa (FAO),,1964,3333700
Africa (FAO),,1965,3394650
Africa (FAO),,1966,3286350
Africa (FAO),,1967,2827170
Africa (FAO),,1968,2886250
Africa (FAO),,1969,2989650
Africa (FAO),,1970,2931900
Africa (FAO),,1971,2933050
Africa (FAO),,1972,2776410
Africa (FAO),,1973,2786658
Africa (FAO),,1974,2964202
Africa (FAO),,1975,2918437
Africa (FAO),,1976,2903133
Africa (FAO),,1977,2948657
Africa (FAO),,1978,2812362
Africa (FAO),,1979,3150373
Africa (FAO),,1980,3145234
Africa (FAO),,1981,2841171
Africa (FAO),,1982,2856176
Africa (FAO),,1983,2746172
Africa (FAO),,1984,3043621
Africa (FAO),,1985,3015208
Africa (FAO),,1986,3046353
Africa (FAO),,1987,3129142
Africa (FAO),,1988,3110078
Africa (FAO),,1989,3159323
Africa (FAO),,1990,3222002
Africa (FAO),,1991,3394830
Africa (FAO),,1992,3528345
Africa (FAO),,1993,3683773
Africa (FAO),,1994,3741006
Africa (FAO),,1995,3941291
Africa (FAO),,1996,3977150
Africa (FAO),,1997,3962750
Africa (FAO),,1998,3972693
Africa (FAO),,1999,4025858
Africa (FAO),,2000,4109776
Africa (FAO),,2001,4211029
Africa (FAO),,2002,4215557
Africa (FAO),,2003,4387367
Africa (FAO),,2004,4520854
Africa (FAO),,2005,4571631
Africa (FAO),,2006,4339738
Africa (FAO),,2007,4373376
Africa (FAO),,2008,4487211
Africa (FAO),,2009,4560340
Africa (FAO),,2010,4597186
Africa (FAO),,2011,4609699
Africa (FAO),,2012,4751564
Africa (FAO),,2013,4492793
Africa (FAO),,2014,4650957
Africa (FAO),,2015,4793361
Africa (FAO),,2016,4951322
Africa (FAO),,2017,5255590
Africa (FAO),,2018,5464775
Africa (FAO),,2019,5622599
Africa (FAO),,2020,5757304
Africa (FAO),,2021,6025284
Africa (FAO),,2022,6243044
Africa (FAO),,2023,6483846
Africa (FAO),,2024,6419967
Americas (FAO),,1961,61610
Americas (FAO),,1962,67612
Americas (FAO),,1963,66702
Americas (FAO),,1964,73070
Americas (FAO),,1965,82580
Americas (FAO),,1966,83615
Americas (FAO),,1967,90020
Americas (FAO),,1968,108619
Americas (FAO),,1969,89022
Americas (FAO),,1970,79067
Americas (FAO),,1971,97139
Americas (FAO),,1972,94052
Americas (FAO),,1973,89228
Americas (FAO),,1974,85258
Americas (FAO),,1975,75351
Americas (FAO),,1976,86013
Americas (FAO),,1977,90452
Americas (FAO),,1978,99252
Americas (FAO),,1979,106514
Americas (FAO),,1980,118535
Americas (FAO),,1981,117782
Americas (FAO),,1982,138384
Americas (FAO),,1983,136610
Americas (FAO),,1984,152642
Americas (FAO),,1985,165707
Americas (FAO),,1986,190722
Americas (FAO),,1987,197377
Americas (FAO),,1988,216080
Americas (FAO),,1989,240499
Americas (FAO),,1990,271103
Americas (FAO),,1991,320038
Americas (FAO),,1992,364268
Americas (FAO),,1993,357323
Americas (FAO),,1994,386013
Americas (FAO),,1995,395633
Americas (FAO),,1996,415439
Americas (FAO),,1997,435592
Americas (FAO),,1998,445140
Americas (FAO),,1999,457719
Americas (FAO),,2000,503507
Americas (FAO),,2001,546045
Americas (FAO),,2002,532985
Americas (FAO),,2003,546668
Americas (FAO),,2004,601598
Americas (FAO),,2005,646544
Americas (FAO),,2006,678914
Americas (FAO),,2007,704454
Americas (FAO),,2008,730679
Americas (FAO),,2009,797695
Americas (FAO),,2010,851795
Americas (FAO),,2011,929485
Americas (FAO),,2012,968074
Americas (FAO),,2013,1071661
Americas (FAO),,2014,1197946
Americas (FAO),,2015,1333012
Americas (FAO),,2016,1322517
Americas (FAO),,2017,1491916
Americas (FAO),,2018,1570175
Americas (FAO),,2019,1623992
Americas (FAO),,2020,1665628
Americas (FAO),,2021,1680724
Americas (FAO),,2022,1669278
Americas (FAO),,2023,1702659
Americas (FAO),,2024,1731954
Angola,AGO,1961,22000
Angola,AGO,1962,22000
Angola,AGO,1963,21000
Angola,AGO,1964,22000
Angola,AGO,1965,18000
Angola,AGO,1966,19000
Angola,AGO,1967,20000
Angola,AGO,1968,20000
Angola,AGO,1969,23000
Angola,AGO,1970,21000
Angola,AGO,1971,21000
Angola,AGO,1972,21000
Angola,AGO,1973,21000
Angola,AGO,1974,21000
Angola,AGO,1975,21000
Angola,AGO,1976,19000
Angola,AGO,1977,18000
Angola,AGO,1978,20000
Angola,AGO,1979,20000
Angola,AGO,1980,20000
Angola,AGO,1981,19000
Angola,AGO,1982,19000
Angola,AGO,1983,20000
Angola,AGO,1984,19000
Angola,AGO,1985,18000
Angola,AGO,1986,19000
Angola,AGO,1987,20000
Angola,AGO,1988,20000
Angola,AGO,1989,21000
Angola,AGO,1990,21000
Angola,AGO,1991,21500
Angola,AGO,1992,21500
Angola,AGO,1993,21500
Angola,AGO,1994,21500
Angola,AGO,1995,22000
Angola,AGO,1996,22400
Angola,AGO,1997,22000
Angola,AGO,1998,22400
Angola,AGO,1999,22500
Angola,AGO,2000,23000
Angola,AGO,2001,23000
Angola,AGO,2002,23000
Angola,AGO,2003,23000
Angola,AGO,2004,23000
Angola,AGO,2005,23000
Angola,AGO,2006,23000
Angola,AGO,2007,23000
Angola,AGO,2008,23000
Angola,AGO,2009,23000
Angola,AGO,2010,23000
Angola,AGO,2011,23000
Angola,AGO,2012,23000
Angola,AGO,2013,23000
Angola,AGO,2014,23067
Angola,AGO,2015,23141
Angola,AGO,2016,23166
Angola,AGO,2017,23164
Angola,AGO,2018,23141
Angola,AGO,2019,23123
Angola,AGO,2020,23152
Angola,AGO,2021,23261
Angola,AGO,2022,23265
Angola,AGO,2023,23286
Angola,AGO,2024,23308
Asia,OWID_ASI,1961,114402
Asia,OWID_ASI,1962,117275
Asia,OWID_ASI,1963,125173
Asia,OWID_ASI,1964,134000
Asia,OWID_ASI,1965,140100
Asia,OWID_ASI,1966,153650
Asia,OWID_ASI,1967,164750
